epoch,train_loss,train_acc,val_loss,val_acc,sav_version
70,0.5062345552339889,0.8457980581316089,0.962436843692787,0.7615016107700592,23
71,0.5059822801892695,0.8466782403056292,0.9726564956931617,0.7572848781588787,23
72,0.4990820534788726,0.847027207614735,0.9647379048227325,0.7616977778072044,23
73,0.4960550307966115,0.8487248535649307,0.9726323944142484,0.7602750305007815,23
74,0.49021393854759243,0.8493573712356122,0.9840123289682734,0.754638044498358,23
75,0.48761626774804634,0.8500224964883906,0.9834463791115078,0.7544387684008499,23
76,0.47771567181406316,0.8528451543785942,1.0004910608445565,0.7550710536832023,23
77,0.4759764412123906,0.8535022232116712,0.9998239576816559,0.7555403319427335,23
78,0.47380085334573924,0.8533211907946446,0.9877928420314639,0.7608843039660945,23
79,0.4719089650075164,0.8539559954995454,1.0019367043896923,0.7593398465910627,23
